epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4747,1.59927,3.73606,1.7026,0.00337,1,0.49438,0.36521,1.0604,3.62586,1.30119,7.145e-05,7.145e-05,7.145e-05
2,57.5568,1.28618,3.30918,1.46024,0.00335,1,0.63964,0.44979,0.95157,3.46298,1.166,0.000154078,0.000154078,0.000154078
3,84.8751,1.19433,2.61504,1.30017,0.0034,1,0.69097,0.51313,0.94084,3.28943,1.16918,0.00023331,0.00023331,0.00023331
4,112.069,1.18788,2.0706,1.29277,0.00336,1,0.83513,0.61853,0.86393,3.09307,1.1487,0.000309147,0.000309147,0.000309147
5,139.249,1.23676,1.92511,1.31625,0.00334,1,0.995,0.73978,0.87935,2.96253,1.15391,0.000381589,0.000381589,0.000381589
6,167.378,1.18534,1.72026,1.26195,0.00335,1,0.97833,0.75624,0.91879,3.02366,1.17952,0.000450635,0.000450635,0.000450635
7,194.432,1.06977,1.64751,1.20311,0.00333,1,0.91246,0.62331,1.06989,3.08164,1.34531,0.000516286,0.000516286,0.000516286
8,233.218,1.16569,1.63517,1.25718,0.8388,0.6,0.845,0.56073,1.12928,3.02785,1.38076,0.000578542,0.000578542,0.000578542
9,273.137,1.07185,1.61407,1.18799,0.94357,0.26667,0.90056,0.67379,1.09326,2.99349,1.479,0.000637403,0.000637403,0.000637403
10,311.496,1.04102,1.45775,1.16543,1,0.81923,0.995,0.72954,0.97428,2.56212,1.22916,0.000692868,0.000692868,0.000692868
11,348.259,1.04802,1.4292,1.16629,0.919,0.95564,0.995,0.73253,0.94867,2.34129,1.23239,0.000744938,0.000744938,0.000744938
12,384.988,0.98993,1.42953,1.18361,0.88807,0.98308,0.96167,0.75008,0.94167,2.21027,1.23463,0.000793612,0.000793612,0.000793612
13,421.331,1.06755,1.44907,1.21535,0.83907,0.89194,0.91464,0.69131,1.11294,2.13944,1.34089,0.000838892,0.000838892,0.000838892
14,457.896,1.11217,1.59264,1.25459,0.92464,0.98228,0.995,0.73313,1.11546,2.02053,1.30455,0.000880776,0.000880776,0.000880776
15,494.162,1.05829,1.34089,1.17501,0.92464,0.98228,0.995,0.73313,1.11546,2.02053,1.30455,0.000919264,0.000919264,0.000919264
16,531.16,1.11921,1.51609,1.27237,0.9722,0.99051,0.995,0.77621,0.98354,2.00739,1.19814,0.000954358,0.000954358,0.000954358
17,569.121,1.09084,1.37011,1.19016,0.95623,0.98535,0.995,0.76816,0.96434,1.74282,1.20328,0.000976293,0.000976293,0.000976293
18,607.58,1.18106,1.50118,1.28395,0.91813,0.99121,0.995,0.75339,0.9357,1.69695,1.18842,0.000947999,0.000947999,0.000947999
19,644.067,1.1445,1.41281,1.22788,0.91813,0.99121,0.995,0.75339,0.9357,1.69695,1.18842,0.000919704,0.000919704,0.000919704
20,680.495,1.03561,1.25621,1.18352,0.93936,0.99689,0.995,0.73569,0.96389,1.60103,1.17066,0.00089141,0.00089141,0.00089141
21,716.758,1.13342,1.35947,1.24047,0.97735,1,0.995,0.7388,0.98251,1.50174,1.1634,0.000863116,0.000863116,0.000863116
22,752.881,1.15846,1.39632,1.20931,0.97436,1,0.995,0.7008,1.04708,1.51465,1.20375,0.000834822,0.000834822,0.000834822
23,789.381,1.08943,1.32559,1.14772,0.97436,1,0.995,0.7008,1.04708,1.51465,1.20375,0.000806528,0.000806528,0.000806528
24,825.783,1.12835,1.5256,1.22271,0.96186,0.99484,0.995,0.71284,1.04081,1.53088,1.18562,0.000778233,0.000778233,0.000778233
25,862.129,1.11473,1.35049,1.20345,0.98472,0.99575,0.995,0.72223,0.99697,1.4582,1.17015,0.000749939,0.000749939,0.000749939
26,898.871,0.98723,1.22994,1.15461,0.97599,0.99323,0.995,0.70993,0.97494,1.3257,1.163,0.000721645,0.000721645,0.000721645
27,935.136,1.04658,1.29114,1.15724,0.97599,0.99323,0.995,0.70993,0.97494,1.3257,1.163,0.000693351,0.000693351,0.000693351
28,971.619,1.00917,1.18837,1.16953,0.98111,0.99513,0.995,0.75032,0.94192,1.31866,1.14761,0.000665057,0.000665057,0.000665057
29,1008.09,1.07541,1.20935,1.18115,0.97359,1,0.995,0.72144,0.92839,1.39225,1.12503,0.000636762,0.000636762,0.000636762
30,1044.94,0.96014,1.10448,1.07452,0.97054,1,0.995,0.73728,0.96333,1.38864,1.12379,0.000608468,0.000608468,0.000608468
31,1081.15,0.98105,1.24292,1.11943,0.97054,1,0.995,0.73728,0.96333,1.38864,1.12379,0.000580174,0.000580174,0.000580174
32,1117.66,0.9728,1.26763,1.1275,0.97216,1,0.995,0.74681,1.00274,1.33908,1.1387,0.00055188,0.00055188,0.00055188
33,1154.38,1.0453,1.27586,1.19839,0.98408,1,0.995,0.73313,1.02824,1.28904,1.17718,0.000523586,0.000523586,0.000523586
34,1191.5,0.93667,1.13641,1.09578,0.9774,1,0.995,0.72024,1.04942,1.2376,1.2061,0.000495291,0.000495291,0.000495291
35,1228.42,0.97636,1.09628,1.06747,0.9774,1,0.995,0.72024,1.04942,1.2376,1.2061,0.000466997,0.000466997,0.000466997
36,1265.96,1.00013,1.16239,1.14614,0.9784,1,0.995,0.72683,1.02744,1.2247,1.2132,0.000438703,0.000438703,0.000438703
37,1302.87,1.01334,1.1279,1.12984,0.98166,1,0.995,0.75453,0.99726,1.22019,1.21142,0.000410409,0.000410409,0.000410409
38,1339.79,1.01797,1.2206,1.1408,0.98168,1,0.995,0.74758,0.98893,1.20442,1.19385,0.000382115,0.000382115,0.000382115
39,1376.77,0.91405,1.13113,1.08905,0.98168,1,0.995,0.74758,0.98893,1.20442,1.19385,0.00035382,0.00035382,0.00035382
40,1413.51,0.96782,1.02874,1.08745,0.98215,1,0.995,0.76151,0.98219,1.14839,1.1771,0.000325526,0.000325526,0.000325526
41,1449.66,0.85132,1.39223,1.06534,0.9828,1,0.995,0.76826,0.97236,1.14332,1.15718,0.000297232,0.000297232,0.000297232
42,1486.19,0.88754,1.36442,1.10621,0.98392,1,0.995,0.76826,0.96267,1.15473,1.14082,0.000268938,0.000268938,0.000268938
